yyyy;mm;dd;sapf
2011;9;4;0.5032
2011;9;5;0.519
2011;9;6;0.3788
2011;9;7;0.3672
2011;9;8;0.4913
2011;9;9;0.3912
2011;9;10;0.128
2011;9;11;0.2079
2011;9;12;0.1313
2011;9;13;0.2539
2011;9;14;0.2292
2011;9;15;0.4521
2011;9;16;0.4566
2011;9;17;0.661
2011;9;18;0.8199
2011;9;19;0.3776
2011;9;20;0.1201
2011;9;21;0.2399
2011;9;22;0.2399
2011;9;23;0.1473
2011;9;24;0.4774
2011;9;25;0.2872
2011;9;26;0.0896
2011;9;27;0.1464
